AGE00135039,18590101,PRCP,0,,,E,
ASN00023000,18590101,PRCP,0,,,a,
ASN00056002,18590101,PRCP,0,,,a,
ASN00058063,18590101,PRCP,0,,,a,
ASN00061035,18590101,PRCP,0,,,a,
ASN00063004,18590101,TMAX,289,,,a,
ASN00063004,18590101,TMIN,100,,,a,
ASN00063004,18590101,PRCP,0,,,a,
ASN00066046,18590101,PRCP,0,,,a,
ASN00066062,18590101,TMAX,244,,,a,
ASN00066062,18590101,TMIN,145,,,a,
ASN00066062,18590101,PRCP,0,,,a,
ASN00070023,18590101,PRCP,0,,,a,
ASN00070037,18590101,PRCP,0,,,a,
ASN00074128,18590101,TMAX,375,,,a,
ASN00074128,18590101,TMIN,155,,,a,
ASN00074128,18590101,PRCP,0,,,a,
ASN00086071,18590101,TMAX,358,,,a,
ASN00086071,18590101,TMIN,196,,,a,
ASN00086071,18590101,PRCP,0,,,a,
ASN00087046,18590101,PRCP,0,,,a,
ASN00089049,18590101,PRCP,0,,,a,
ASN00094132,18590101,PRCP,0,,,a,
AU000005901,18590101,TMAX,4,,,E,
AU000005901,18590101,TMIN,-23,,,E,
BE000006447,18590101,TMAX,24,,,I,
BE000006447,18590101,TMIN,-19,,,I,
CA006158350,18590101,TMAX,22,,,C,
CA006158350,18590101,TMIN,-11,,,C,
CA006158350,18590101,PRCP,0,T,,C,
CA006158350,18590101,SNOW,0,T,,C,
EZE00100082,18590101,TMAX,0,,,E,
EZE00100082,18590101,TMIN,-14,,,E,
EZE00100082,18590101,PRCP,0,,,E,
GM000004204,18590101,TMAX,0,,,E,
GM000004204,18590101,TMIN,-35,,,E,
GM000004204,18590101,PRCP,0,,,E,
GME00127462,18590101,TMAX,0,,,E,
GME00127462,18590101,TMIN,-15,,,E,
GME00127462,18590101,PRCP,0,,,E,
HRE00105189,18590101,PRCP,0,,,E,
ITE00100550,18590101,TMAX,39,,,E,
ITE00100550,18590101,TMIN,-8,,,E,
ITE00100550,18590101,PRCP,0,,,E,
ITE00100552,18590101,PRCP,0,,,E,
ITE00100554,18590101,TMAX,40,,,E,
ITE00100554,18590101,TMIN,-34,,,E,
ITE00100554,18590101,PRCP,0,,,E,
ITE00105250,18590101,PRCP,95,,,E,
NLE00100499,18590101,PRCP,1,,,E,
NLM00006235,18590101,PRCP,3,,,E,
SF000208660,18590101,PRCP,0,,,I,
SG000061612,18590101,TMAX,300,,,I,
SG000061612,18590101,TMIN,180,,,I,
SG000061612,18590101,PRCP,0,,,I,
SW000008525,18590101,PRCP,0,,,E,
SWE00138836,18590101,PRCP,1,,,E,
SWE00139148,18590101,TMAX,15,,,E,
SWE00139148,18590101,TMIN,-104,,,E,
SWE00139148,18590101,PRCP,0,,,E,
SWE00140186,18590101,PRCP,0,,,E,
SWM00002485,18590101,PRCP,0,,,E,
UK000047811,18590101,TMAX,94,,,E,
UK000047811,18590101,TMIN,38,,,E,
UK000047811,18590101,PRCP,3,,,E,
UK000056225,18590101,TMAX,69,,,E,
UK000056225,18590101,TMIN,-3,,,E,
UK000056225,18590101,PRCP,3,,,E,
USC00047738,18590101,PRCP,0,P,,0,
USC00053010,18590101,PRCP,0,,,F,
USC00064757,18590101,PRCP,183,,,F,
USC00090430,18590101,PRCP,0,P,,6,
USC00361234,18590101,PRCP,0,,,F,
USC00361920,18590101,PRCP,0,,,F,
USC00413270,18590101,TMAX,150,,,F,
USC00413270,18590101,TMIN,11,,,F,
USC00413270,18590101,PRCP,0,,,F,
USP00CA0001,18590101,PRCP,5,,,F,
USW00093725,18590101,PRCP,0,,,F,
AGE00135039,18590102,PRCP,0,,,E,
ASN00023000,18590102,PRCP,0,,,a,
ASN00056002,18590102,PRCP,0,,,a,
ASN00058063,18590102,PRCP,8,,,a,
ASN00061035,18590102,PRCP,0,,,a,
ASN00063004,18590102,TMAX,300,,,a,
ASN00063004,18590102,TMIN,94,,,a,
ASN00063004,18590102,PRCP,0,,,a,
ASN00066046,18590102,PRCP,0,,,a,
ASN00066062,18590102,TMAX,244,,,a,
ASN00066062,18590102,TMIN,157,,,a,
ASN00066062,18590102,PRCP,0,,,a,
ASN00070023,18590102,PRCP,0,,,a,
ASN00070037,18590102,PRCP,0,,,a,
ASN00074128,18590102,TMAX,398,,,a,
ASN00074128,18590102,TMIN,178,,,a,
ASN00074128,18590102,PRCP,0,,,a,
ASN00086071,18590102,TMAX,266,,,a,
ASN00086071,18590102,TMIN,155,,,a,
ASN00086071,18590102,PRCP,0,,,a,
ASN00087046,18590102,PRCP,0,,,a,
ASN00089049,18590102,PRCP,0,,,a,
ASN00094132,18590102,PRCP,0,,,a,
AU000005901,18590102,TMAX,-4,,,E,
AU000005901,18590102,TMIN,-23,,,E,
BE000006447,18590102,TMAX,29,,,I,
BE000006447,18590102,TMIN,-11,,,I,
CA006158350,18590102,TMAX,-6,,,C,
CA006158350,18590102,TMIN,-44,,,C,
CA006158350,18590102,PRCP,0,T,,C,
CA006158350,18590102,SNOW,0,T,,C,
EZE00100082,18590102,TMAX,6,,,E,
EZE00100082,18590102,TMIN,-21,,,E,
EZE00100082,18590102,PRCP,0,,,E,
GM000004204,18590102,TMAX,3,,,E,
GM000004204,18590102,TMIN,-71,,,E,
GM000004204,18590102,PRCP,0,,,E,
GME00127462,18590102,TMAX,24,,,E,
GME00127462,18590102,TMIN,-30,,,E,
GME00127462,18590102,PRCP,37,,,E,
HRE00105189,18590102,PRCP,0,,,E,
ITE00100550,18590102,TMAX,40,,,E,
ITE00100550,18590102,TMIN,-23,,,E,
ITE00100550,18590102,PRCP,0,,,E,
ITE00100552,18590102,PRCP,0,,,E,
ITE00100554,18590102,TMAX,38,,,E,
ITE00100554,18590102,TMIN,-44,,,E,
ITE00100554,18590102,PRCP,0,,,E,
ITE00105250,18590102,PRCP,89,,,E,
NLE00100499,18590102,PRCP,8,,,E,
NLM00006235,18590102,PRCP,0,,,E,
SF000208660,18590102,PRCP,0,,,I,
SG000061612,18590102,TMAX,280,,,I,
SG000061612,18590102,TMIN,170,,,I,
SG000061612,18590102,PRCP,0,,,I,
SW000008525,18590102,PRCP,0,,,E,
SWE00138836,18590102,PRCP,0,,,E,
SWE00139148,18590102,TMAX,22,,,E,
SWE00139148,18590102,TMIN,-43,,,E,
SWE00139148,18590102,PRCP,0,,,E,
SWE00140186,18590102,PRCP,0,,,E,
SWM00002485,18590102,PRCP,0,,,E,
UK000047811,18590102,TMAX,62,,,E,
UK000047811,18590102,TMIN,19,,,E,
UK000047811,18590102,PRCP,3,,,E,
UK000056225,18590102,TMAX,14,,,E,
